Time,AgeStart,Age,Deaths,Population
1977,55,55-59,62167,3642331.5
1977,60,60-64,79124,2981458.5
1977,65,65-69,93028,2276260.5
1977,70,70-74,96270,1455792.5
1977,75,75-79,78187,752525
1977,80,80-84,47833,302111.5
1977,85,85-89,19741,84403
1977,90,90-94,4958,15367.5
1977,95,95-99,779,1789
1977,100,100,97,175
1978,0,0-4,628636,21478683.5
1978,5,5-9,50878,19507921
1978,10,10-14,29578,17513176
1978,15,15-19,37527,15002335.5
1978,20,20-24,40240,12206970.5
1978,25,25-29,32256,9441912
1978,30,30-34,32553.000000000000,8439872.5
1978,35,35-39,38370,8045009
1978,40,40-44,45111,7314248.5
1978,45,45-49,51012,6195968
1978,50,50-54,57850,4945486
1978,55,55-59,63181,3757755
1978,60,60-64,79243,3021807
1978,65,65-69,95083,2344199
1978,70,70-74,99623,1515981
1978,75,75-79,82268,794404
1978,80,80-84,50492,319083.5
1978,85,85-89,21026,89832.5
1978,90,90-94,5321,16446
1978,95,95-99,827,1897
1978,100,100,98,176
1979,0,0-4,616125,21749446
1979,5,5-9,49354,19781866
1979,10,10-14,29156,17947342.5
1979,15,15-19,37134,15490180.5
1979,20,20-24,39803,12748626.5
1979,25,25-29,32035.000000000000,9911979
1979,30,30-34,31100,8476521
1979,35,35-39,36944,8094635.5
1979,40,40-44,44387,7468514.5
1979,45,45-49,50928,6375058.5
1979,50,50-54,58893,5156752.5
1979,55,55-59,64249.00000000000,3894710
1979,60,60-64,79198,3068040
1979,65,65-69,96467,2404598.5
1979,70,70-74,102623,1577003.5
1979,75,75-79,86163,837566.5
1979,80,80-84,53026,336614
1979,85,85-89,22309,95614.5
1979,90,90-94,5678,17571
1979,95,95-99,879,2014.5
1979,100,100,100,178.5
1980,0,0-4,600994,22025775.5
1980,5,5-9,47681,20028419.5
1980,10,10-14,28626,18353473.5
1980,15,15-19,36963,15968025.5
1980,20,20-24,39905,13284975.5
1980,25,25-29,32450.000000000000,10448784.5
1980,30,30-34,30197,8549964
1980,35,35-39,35866,8139054
1980,40,40-44,43821,7601408.5
1980,45,45-49,51052,6555101.5
1980,50,50-54,59982,5361846.5
1980,55,55-59,65771,4053699
1980,60,60-64,79555,3125600
