Province,District,2016,2017,2018,2019,2020,2021
Lampung,LAMPUNG BARAT,15,6,26,28,21,15
Lampung,LAMPUNG SELATAN,28,34,52,66,35,23
Lampung,LAMPUNG TENGAH,24,30,62,71,51,11
Lampung,LAMPUNG TIMUR,23,25,35,45,31,12
Lampung,LAMPUNG UTARA,26,29,28,47,30,8
Lampung,MESUJI,28,19,53,52,45,26
Lampung,PESAWARAN,26,26,29,40,31,16
Lampung,PESISIR BARAT,30,31,31,31,25,22
Lampung,PRINGSEWU,16,20,31,45,48,23
Lampung,TANGGAMUS,23,26,33,44,40,21
Lampung,TULANGBAWANG,31,35,57,52,42,28
Lampung,TULANG BAWANG BARAT,20,19,44,49,47,29
Lampung,WAY KANAN,27,12,43,53,42,19
Banten,KOTA CILEGON,73,93,121,102,86,42
Banten,KOTA SERANG,51,55,95,116,66,51
Banten,KOTA TANGERANG,26,25,57,92,65,38
Banten,KOTA TANGERANG SELATAN,31,37,105,86,57,33
Banten,LEBAK,36,39,102,107,73,57
Banten,PANDEGLANG,43,53,78,111,80,54
Banten,SERANG,53,58,77,118,80,55
Banten,TANGERANG,32,41,69,88,66,44
DKI Jakarta,KEPULAUAN SERIBU,49,88,71,39,26,10
DKI Jakarta,KOTA JAKARTA BARAT,62,91,96,74,44,30
DKI Jakarta,KOTA JAKARTA PUSAT,128,159,284,120,84,51
DKI Jakarta,KOTA JAKARTA SELATAN,70,93,93,77,53,31
DKI Jakarta,KOTA JAKARTA TIMUR,91,131,131,104,64,47
DKI Jakarta,KOTA JAKARTA UTARA,58,75,98,77,53,35
Jawa Barat,BANDUNG,51,58,67,79,63,39
Jawa Barat,BANDUNG BARAT,29,32,30,52,37,31
Jawa Barat,BEKASI,21,26,30,118,56,32
Jawa Barat,BOGOR,47,60,90,111,76,51
Jawa Barat,CIAMIS,45,53,48,55,57,43
Jawa Barat,CIANJUR,43,48,92,103,93,47
Jawa Barat,CIREBON,45,55,64,138,61,39
Jawa Barat,GARUT,33,38,40,78,70,44
Jawa Barat,INDRAMAYU,33,24,51,78,41,21
Jawa Barat,KARAWANG,37,45,49,121,90,49
Jawa Barat,KOTA BANDUNG,104,127,155,152,108,66
Jawa Barat,KOTA BANJAR,58,106,117,149,57,24
Jawa Barat,KOTA BEKASI,38,46,61,127,67,43
Jawa Barat,KOTA BOGOR,62,69,163,107,66,57
Jawa Barat,KOTA CIMAHI,75,90,115,130,102,52
Jawa Barat,KOTA CIREBON,135,120,219,173,142,72
Jawa Barat,KOTA DEPOK,38,48,57,96,49,37
Jawa Barat,KOTA SUKABUMI,79,115,275,199,118,98
Jawa Barat,KOTA TASIKMALAYA,64,67,70,41,58,45
Jawa Barat,KUNINGAN,64,66,71,98,78,44
Jawa Barat,MAJALENGKA,43,47,48,87,66,32
Jawa Barat,PANGANDARAN,32,32,29,34,47,24
Jawa Barat,PURWAKARTA,32,37,45,93,85,57
Jawa Barat,SUBANG,42,58,81,95,93,53
Jawa Barat,SUKABUMI,43,59,61,108,67,47
Jawa Barat,SUMEDANG,53,58,51,76,65,25
Jawa Barat,TASIKMALAYA,42,42,45,142,49,31
Jawa Tengah,BANJARNEGARA,37,46,64,61,44,29
Jawa Tengah,BANYUMAS,58,104,103,108,91,63
Jawa Tengah,BATANG,30,35,57,66,47,31
Jawa Tengah,BLORA,43,49,63,74,53,27
Jawa Tengah,BOYOLALI,16,30,26,67,20,16
Jawa Tengah,BREBES,29,47,58,73,47,33
Jawa Tengah,CILACAP,50,59,86,105,71,46
Jawa Tengah,DEMAK,28,21,37,56,54,24
Jawa Tengah,GROBOGAN,25,45,34,38,31,13
