Province,District,2016-Jan-Mar,2016-Apr-Jun,2016-Jul-Sep,2016-Oct-Dec,2017-Jan-Mar,2017-Apr-Jun,2017-Jul-Sep,2017-Oct-Dec,2018-Jan-Mar,2018-Apr-Jun,2018-Jul-Sep,2018-Oct-Dec,NA,2019-Jan-Mar,2019-Apr-Jun,2019-Jul-Sep,2019-Oct-Dec,NA,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec
SUMBAR,KOTA BUKITTINGGI,#DIV/0!,#DIV/0!,95,94,88,94,92,99,98,99,84,90,#DIV/0!,92,90,93,95,#DIV/0!,95,97,93,89,85,89,91,93,32,38,52,36,23,17,17,23,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,KOTA PADANG,84,79,81,88,86,82,81,30,85,89,86,84,72,83,85,92,88,50,83,77,79,79,65,74,65,56,49,64,58,59,30,30,29,11,4,0,0,1,0,0,#DIV/0!,#DIV/0!
SUMBAR,KOTA PADANG PANJANG,88,91,91,83,88,89,85,93,87,91,91,85,#DIV/0!,86,90,85,84,#DIV/0!,100,93,95,100,#DIV/0!,88,100,83,56,50,100,75,20,38,13,20,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,KOTA PARIAMAN,94,98,100,96,91,0,88,0,91,95,89,94,#DIV/0!,92,97,91,95,#DIV/0!,17,50,29,25,25,13,29,50,25,100,0,60,24,20,41,40,7,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,KOTA PAYAKUMBUH,86,81,79,94,88,96,94,96,97,89,89,89,#DIV/0!,92,92,94,92,#DIV/0!,65,25,71,76,71,25,64,67,33,40,42,33,18,17,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,KOTA SAWAH LUNTO,76,92,90,88,0,0,80,80,91,70,71,68,#DIV/0!,61,0,0,0,#DIV/0!,#DIV/0!,100,100,#DIV/0!,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,33,20,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,KOTA SOLOK,90,91,97,97,88,92,94,97,90,90,95,89,#DIV/0!,95,93,90,87,#DIV/0!,91,86,100,91,89,82,92,86,85,18,21,27,6,13,13,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,LIMA PULUH KOTA,70,82,3,88,86,0,81,0,90,93,90,78,#DIV/0!,84,84,84,80,#DIV/0!,61,67,79,70,60,76,90,47,83,53,58,63,41,52,27,17,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,PADANG PARIAMAN,89,88,87,88,85,87,77,89,83,69,84,88,#DIV/0!,85,87,85,85,#DIV/0!,89,81,85,67,76,83,81,82,73,38,38,32,41,32,27,5,0,0,0,0,0,0,#DIV/0!,#DIV/0!
SUMBAR,PASAMAN,93,95,92,87,87,84,88,85,96,92,87,97,#DIV/0!,89,88,94,96,#DIV/0!,47,54,57,55,77,67,72,81,80,79,62,65,43,24,33,25,4,0,0,0,0,0,0,#DIV/0!
SUMBAR,PASAMAN BARAT,97,92,95,83,97,91,88,94,89,92,87,92,#DIV/0!,93,91,92,96,#DIV/0!,41,33,29,0,0,33,25,43,35,13,39,42,41,25,18,12,5,0,0,0,0,0,0,#DIV/0!
